Game Title,Year,Publisher,North America,Europe,Japan,Rest of World,Global,Number of Reviews,Summary,Wishlist,Platform,Genre,Rating
Sonic Boom: Rise of Lyric,2014.0,Sega,0.21,0.09,0.0,0.03,0.33,100.0,,100.0,WiiU,Action,7.097645942073068
F-Zero,1990.0,Nintendo,1.37,0.51,0.89,0.07,2.85,100.0,,100.0,SNES,Racing,8.3
The Legend of Zelda: Spirit Tracks,2009.0,Nintendo,1.43,0.94,0.74,0.27,3.38,100.0,,100.0,DS,Action,8.489753522341292
Samurai Warriors Chronicles 2nd,2012.0,Ubisoft Annecy,0.0,0.0,0.1,0.0,0.1,100.0,,100.0,3DS,Action,6.576992498161145
Brain Quest: Grades 3 & 4,2008.0,Electronic Arts,0.06,0.0,0.0,0.01,0.07,100.0,,100.0,DS,Misc,6.828516421882036
Cartoon Network Block Party,2004.0,Majesco Entertainment,0.03,0.01,0.0,0.0,0.05,100.0,,100.0,GBA,Misc,6.614155887583131
Pro Yaky? Spirits 5,2008.0,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,100.0,,100.0,PS2,Sports,6.896421626674886
Harvest Moon: Animal Parade,2008.0,Rising Star Games,0.6,0.09,0.02,0.05,0.76,100.0,,100.0,Wii,Simulation,7.349689298962342
Strider 2,2000.0,Virgin Interactive,0.05,0.03,0.0,0.01,0.08,100.0,,100.0,PS,Platform,7.099979868458168
Story of Seasons,2014.0,Nintendo,0.0,0.13,0.26,0.01,0.4,100.0,,100.0,3DS,Simulation,7.035298205634376
Imagine: Interior Designer,2008.0,Ubisoft,0.34,0.31,0.0,0.08,0.73,100.0,,100.0,DS,Simulation,6.969614825664451
Hot Shots Golf 2,1999.0,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88,100.0,,100.0,PS,Sports,8.2
Hakuoki: Shinkai - Furi no Shou,2015.0,Idea Factory,0.0,0.0,0.02,0.0,0.02,100.0,,100.0,PSV,Action,6.725515941146812
Need for Speed Carbon,2006.0,Electronic Arts,0.76,0.7,0.02,0.18,1.66,100.0,,100.0,X360,Racing,7.968387118086926
My Boyfriend,2008.0,DTP Entertainment,0.1,0.0,0.0,0.01,0.11,100.0,,100.0,DS,Simulation,7.04828737742335
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,2005.0,Konami Digital Entertainment,0.3,0.11,0.0,0.01,0.42,100.0,,100.0,GBA,Misc,6.645579096543512
Oddworld: Stranger's Wrath,2005.0,Electronic Arts,0.19,0.06,0.0,0.01,0.26,100.0,,100.0,XB,Adventure,7.446022449747749
Wallace & Gromit in Project Zoo,2003.0,BAM! Entertainment,0.11,0.09,0.0,0.03,0.23,100.0,,100.0,PS2,Platform,6.977701282145901
Street Hoops,2002.0,Activision,0.45,0.35,0.0,0.12,0.91,100.0,,100.0,PS2,Sports,6.5
Earthworm Jim,2001.0,Interplay,0.2,0.08,0.0,0.01,0.29,100.0,,100.0,GBA,Platform,6.839027055984227
Just Dance Kids 2,2011.0,Ubisoft,0.29,0.09,0.0,0.03,0.41,100.0,,100.0,X360,Misc,6.797918999901034
Boku no Natsuyasumi 2: Umi no Bouken Hen,2002.0,Sony Computer Entertainment,0.0,0.0,0.41,0.0,0.41,100.0,,100.0,PS2,Adventure,6.60697387226446
Sunny Garcia Surfing,2001.0,Ubisoft,0.02,0.01,0.0,0.0,0.03,100.0,,100.0,PS2,Sports,7.050951173773209
Build-A-Bear Workshop: Welcome to Hugsville,2010.0,Game Factory,0.14,0.0,0.0,0.01,0.15,100.0,,100.0,DS,Misc,6.7880664142686005
Ballblazer Champions,1997.0,CTO SpA,0.01,0.01,0.0,0.0,0.02,100.0,,100.0,PS,Sports,6.516969758289276
Super Robot Taisen: Scramble Commander the 2nd,2007.0,Banpresto,0.0,0.0,0.04,0.0,0.04,100.0,,100.0,PS2,Strategy,6.921121649652728
Scooby-Doo! and the Spooky Swamp,2010.0,Warner Bros. Interactive Entertainment,0.29,0.13,0.0,0.04,0.46,100.0,,100.0,Wii,Action,7.236656553662135
Command & Conquer: Red Alert 3 Ultimate Edition,2009.0,Electronic Arts,0.14,0.17,0.0,0.06,0.37,100.0,,100.0,PS3,Strategy,7.040912691807141
Theatrhythm: Final Fantasy,2012.0,Square Enix,0.22,0.07,0.18,0.02,0.5,100.0,,100.0,3DS,Misc,7.198601321696063
Jikkyou Powerful Pro Yakyuu 2,1995.0,Konami Digital Entertainment,0.0,0.0,0.27,0.0,0.27,100.0,,100.0,SNES,Sports,7.275059655294173
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,2008.0,Atlus,0.07,0.05,0.0,0.02,0.13,100.0,,100.0,PS2,Role-Playing,7.3253819134503315
Tsuku Monogatari,2011.0,FuRyu,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,PSP,Adventure,7.179860615467208
Virtual Kasparov,2002.0,Titus,0.01,0.01,0.0,0.0,0.02,100.0,,100.0,GBA,Strategy,7.007987082381499
Space Channel 5: Ulala's Cosmic Attack,2002.0,Atari,0.01,0.0,0.0,0.0,0.02,100.0,,100.0,GBA,Misc,6.790264007627132
Warhammer Online: Age of Reckoning,2008.0,GOA,0.0,0.02,0.0,0.0,0.02,100.0,,100.0,PC,Role-Playing,7.234427766916076
Cabela's Alaskan Adventure,2006.0,Activision,0.12,0.0,0.0,0.01,0.13,100.0,,100.0,X360,Sports,7.010291442004447
Shellshock: Nam '67,2004.0,Eidos Interactive,0.16,0.05,0.0,0.01,0.22,100.0,,100.0,XB,Shooter,7.201779222608356
Gundam Battle Assault,1998.0,Namco Bandai Games,0.13,0.09,0.0,0.02,0.23,100.0,,100.0,PS,Fighting,7.061628390343029
River Raid II,1988.0,Activision,0.47,0.03,0.0,0.01,0.51,100.0,,100.0,2600,Shooter,7.107670969954124
Aquaman: Battle for Atlantis,2004.0,Unknown,0.01,0.0,0.0,0.0,0.01,100.0,,100.0,XB,Action,7.188927888193385
Satisfashion,2010.0,Destineer,0.06,0.0,0.0,0.0,0.06,100.0,,100.0,DS,Misc,6.797947984196543
Crayon Shin-Chan: Obaka Daininden - Susume! Kasukabe Ninja Tai!,2010.0,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,100.0,,100.0,DS,Action,6.709564042806248
Guinness World Records: The Videogame,2008.0,Warner Bros. Interactive Entertainment,0.46,0.47,0.0,0.11,1.04,100.0,,100.0,Wii,Action,7.003625241583603
Azure Dreams,1997.0,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13,100.0,,100.0,PS,Role-Playing,7.043218084401325
Road Trip: Shifting Gears,2002.0,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01,100.0,,100.0,GBA,Racing,7.1175212446175
Spyro: A Hero's Tail,2004.0,Vivendi Games,0.32,0.25,0.0,0.08,0.64,100.0,,100.0,PS2,Platform,7.228171979041154
Spec Ops: Ranger Elite,2001.0,TalonSoft,0.49,0.33,0.0,0.06,0.87,100.0,,100.0,PS,Shooter,5.5
Kirby's Dream Course,1994.0,Nintendo,0.0,0.0,0.59,0.0,0.59,100.0,,100.0,SNES,Sports,7.006059424021814
Maximum Capacity: Hotel Giant,2002.0,JoWood Productions,0.0,0.02,0.0,0.0,0.02,100.0,,100.0,PC,Strategy,7.273418515933467
Game Center CX: Arino no Chousenjou 2,2009.0,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,100.0,,100.0,DS,Action,6.728142133801265
Serious Sam,2002.0,Take-Two Interactive,0.11,0.03,0.0,0.01,0.15,100.0,,100.0,XB,Shooter,7.278125780726219
"Roswell Conspiracies: Aliens, Myths & Legends",2001.0,Red Storm Entertainment,0.02,0.02,0.0,0.0,0.04,100.0,,100.0,PS,Action,7.067670515428607
Culdcept,2012.0,Nintendo,0.0,0.0,0.16,0.0,0.16,100.0,,100.0,3DS,Misc,6.695394804904377
NHL 15,2014.0,Electronic Arts,0.3,0.18,0.0,0.1,0.58,100.0,,100.0,PS4,Sports,7.648101078346732
BeatMania Append 3rdMix,1997.0,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,100.0,,100.0,PS,Simulation,7.137543787656901
Chess,2001.0,Success,0.05,0.04,0.0,0.01,0.09,100.0,,100.0,PS,Strategy,7.10643151949223
Smash Court Tennis 3,2007.0,Atari,0.08,0.02,0.0,0.01,0.11,100.0,,100.0,X360,Sports,7.236888340020746
Kamiwaza,2006.0,Acquire,0.0,0.0,0.05,0.0,0.05,100.0,,100.0,PS2,Action,6.572209974438155
Taiko no Tatsujin DS: Touch de Dokodon!,2007.0,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66,100.0,,100.0,DS,Misc,6.575568874477673
Go Go Ackman 3,1995.0,Banpresto,0.0,0.0,0.04,0.0,0.04,100.0,,100.0,SNES,Platform,7.090501072569308
The Chase: Felix Meets Felicity,2009.0,Atari,0.04,0.0,0.0,0.0,0.04,100.0,,100.0,DS,Action,7.008098347778791
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,2008.0,Broccoli,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,DS,Simulation,6.985635937610806
Parasite Eve,1998.0,SquareSoft,0.94,0.07,1.05,0.04,2.1,100.0,,100.0,PS,Role-Playing,7.787546002826348
Steins;Gate,2013.0,PQube,0.07,0.09,0.0,0.05,0.21,100.0,,100.0,PSV,Adventure,7.07981857442382
Shrek Smash n' Crash Racing,2006.0,Activision,0.1,0.03,0.0,0.0,0.13,100.0,,100.0,GC,Racing,7.139053186740616
Gravity Rush Remastered,2015.0,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,100.0,,100.0,PS4,Action,6.976709500160128
Romance of the Three Kingdoms XII,2012.0,Tecmo Koei,0.0,0.0,0.09,0.0,0.09,100.0,,100.0,PS3,Strategy,7.021716173425349
Taiko no Tatsujin: V Version,2015.0,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,100.0,,100.0,PSV,Action,6.764848124152931
Aikatsu! My No.1 Stage!,2015.0,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,100.0,,100.0,3DS,Misc,6.680720893015578
StarCraft II: Wings of Liberty,2010.0,Activision,2.56,1.68,0.0,0.59,4.83,100.0,,100.0,PC,Strategy,8.002608808779431
Dragon Ball Z Super Gokuden: Kakusei-Hen,1995.0,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,100.0,,100.0,SNES,Role-Playing,7.451853535381026
PaRappa The Rapper 2,2001.0,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,100.0,,100.0,PS2,Misc,6.906011336188108
Midnight Club II,2003.0,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78,100.0,,100.0,PS2,Racing,7.731749839029289
Legacy of Kain: Defiance,2003.0,Eidos Interactive,0.26,0.2,0.0,0.07,0.53,100.0,,100.0,PS2,Action,7.162941000236032
Metroid Prime: Federation Force,2016.0,Nintendo,0.02,0.01,0.01,0.0,0.03,100.0,,100.0,3DS,Action,6.961033760758257
Mario Tennis: Power Tour,2005.0,Nintendo,0.24,0.09,0.19,0.01,0.52,100.0,,100.0,GBA,Sports,7.361071787899165
DoDonPachi Saidaioujou,2013.0,Cave,0.0,0.0,0.01,0.0,0.01,100.0,,100.0,X360,Shooter,6.793788677467541
Just Dance: Disney Party 2,2015.0,Ubisoft,0.06,0.01,0.0,0.01,0.08,100.0,,100.0,WiiU,Action,6.9621169412312245
Tales of Innocence,2007.0,Namco Bandai Games,0.0,0.0,0.26,0.0,0.26,100.0,,100.0,DS,Role-Playing,7.514886243600847
Macross 30: Ginga o Tsunagu Utagoe,2013.0,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1,100.0,,100.0,PS3,Shooter,6.942592799041712
Far Cry Vengeance,2006.0,Ubisoft,0.06,0.01,0.0,0.01,0.08,100.0,,100.0,Wii,Shooter,7.032146420162063
Solitaire & Mahjong,2009.0,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,100.0,,100.0,Wii,Puzzle,6.655284383996131
Moujuutsukai to Oujisama,2010.0,Idea Factory,0.0,0.0,0.02,0.0,0.02,100.0,,100.0,PS2,Adventure,6.791823537095347
Dr. Slump & Arale-Chan,2008.0,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,100.0,,100.0,DS,Adventure,7.014638533203774
Bus Simulator 16,2016.0,Astragon,0.0,0.02,0.0,0.0,0.02,100.0,,100.0,PC,Simulation,7.010431995599598
Strawberry Shortcake: Game Boy Advance Video Volume 1,2004.0,,0.11,0.04,0.0,0.0,0.15,100.0,,100.0,GBA,Misc,6.816050525920984
PC Engine Best Collention: Ginga Ojousama Densetsu Collection,2008.0,Hudson Soft,0.0,0.0,0.01,0.0,0.01,100.0,,100.0,PSP,Adventure,7.171160604349301
Cabela's Big Game Hunter: Ultimate Challenge,2001.0,Activision Value,0.12,0.08,0.0,0.01,0.21,100.0,,100.0,PS,Sports,6.609654905667904
SWAT: Global Strike Team,2003.0,Vivendi Games,0.16,0.12,0.0,0.04,0.32,100.0,,100.0,PS2,Shooter,7.228567108104363
No.1 Muscle Ranking - Kinniku Banzuke Vol. 2: Aratanarugenkai Enochousen!,2000.0,Konami Digital Entertainment,0.0,0.0,0.14,0.01,0.15,100.0,,100.0,PS,Sports,7.045450263888116
Football Manager Handheld 2011,2010.0,Sega,0.0,0.28,0.0,0.14,0.42,100.0,,100.0,PSP,Sports,7.436688977967634
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,2002.0,Namco Bandai Games,0.04,0.01,0.08,0.0,0.14,100.0,,100.0,GC,Fighting,6.813499058605705
UEFA Euro 2008 Austria-Switzerland,2008.0,Electronic Arts,0.08,0.27,0.0,0.06,0.41,100.0,,100.0,PS3,Sports,7.273122279009935
Brothers Conflict: Passion Pink,2012.0,Idea Factory,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,PSP,Action,6.806006099719186
World Championship Spelling,2010.0,505 Games,0.04,0.0,0.0,0.0,0.04,100.0,,100.0,DS,Misc,7.023785959463116
Finding Nemo: The Continuing Adventures,2004.0,THQ,0.21,0.08,0.0,0.01,0.3,100.0,,100.0,GBA,Action,6.757289238447169
Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,2009.0,Irem Software Engineering,0.0,0.0,0.07,0.0,0.07,100.0,,100.0,PSP,Action,6.630204540750599
Gallop Racer 2: One and Only Road to Victory,1997.0,Tecmo Koei,0.0,0.0,0.25,0.02,0.27,100.0,,100.0,PS,Sports,7.242804077593936
The Dog Island,2007.0,Ubisoft,0.35,0.01,0.0,0.03,0.39,100.0,,100.0,Wii,Adventure,7.332415131049433
Cabela's Adventure Camp,2011.0,Activision,0.15,0.02,0.0,0.01,0.18,100.0,,100.0,Wii,Misc,6.819587469124658
Bujingai: The Forsaken City,2003.0,505 Games,0.05,0.04,0.0,0.01,0.1,100.0,,100.0,PS2,Fighting,7.356166801920823
Skeleton Warriors,1996.0,Virgin Interactive,0.04,0.03,0.0,0.01,0.08,100.0,,100.0,PS,Platform,7.276315827261908
Charlotte's Web,2006.0,Sega,0.08,0.0,0.0,0.01,0.09,100.0,,100.0,DS,Action,6.991433860219743
Emma at the Farm,2008.0,Aspyr,0.03,0.0,0.0,0.0,0.03,100.0,,100.0,DS,Adventure,7.360470184824552
Just Dance 2,2010.0,Ubisoft,5.84,2.89,0.01,0.78,9.52,100.0,,100.0,Wii,Misc,8.604418540616306
Lips: Number One Hits,2009.0,Microsoft Game Studios,0.15,0.35,0.0,0.07,0.56,100.0,,100.0,X360,Misc,6.711219085157775
Spyro: Shadow Legacy,2005.0,Vivendi Games,0.14,0.01,0.0,0.01,0.17,100.0,,100.0,DS,Action,7.054595256876358
Remington Great American Bird Hunt,2009.0,Mastiff,0.41,0.0,0.0,0.03,0.44,100.0,,100.0,Wii,Sports,7.251546241231831
Mario Sports Mix,2010.0,Nintendo,0.9,0.45,0.63,0.13,2.11,100.0,,100.0,Wii,Sports,8.151771457453686
Forza Motorsport 3: Ultimate Edition,2010.0,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05,100.0,,100.0,X360,Racing,7.253785845839029
Kinetica,2001.0,Sony Computer Entertainment,0.16,0.12,0.0,0.04,0.32,100.0,,100.0,PS2,Racing,7.142318283292622
Pinball,1984.0,Nintendo,0.8,0.19,0.83,0.03,1.85,100.0,,100.0,NES,Action,4.6
Military History: Commander - Europe at War,2009.0,Slitherine Software,0.0,0.01,0.0,0.01,0.02,100.0,,100.0,PSP,Strategy,7.1569316020893226
Commandos 2: Men of Courage,2002.0,Eidos Interactive,0.09,0.07,0.0,0.02,0.18,100.0,,100.0,PS2,Strategy,7.279228724828675
Turok 3: Shadow of Oblivion,2000.0,Acclaim Entertainment,0.12,0.05,0.0,0.0,0.17,100.0,,100.0,N64,Shooter,7.158740437988205
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,2006.0,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,100.0,,100.0,PSP,Shooter,7.240910508311269
Star Wars Episode III: Revenge of the Sith,2005.0,LucasArts,1.47,1.39,0.03,0.43,3.32,100.0,,100.0,PS2,Action,7.9
Moxie Girlz,2011.0,GameMill Entertainment,0.07,0.0,0.0,0.0,0.07,100.0,,100.0,DS,Misc,6.816964001368683
Harley-Davidson: Road Trip,2010.0,Destineer,0.04,0.0,0.0,0.0,0.04,100.0,,100.0,Wii,Racing,7.201712224020133
Love Plus +,2010.0,Konami Digital Entertainment,0.0,0.0,0.23,0.0,0.23,100.0,,100.0,DS,Simulation,6.925874191261158
Driver 2,2000.0,Atari,2.36,2.1,0.02,0.25,4.73,100.0,,100.0,PS,Action,6.92
Disney's Stitch: Experiment 626,2002.0,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31,100.0,,100.0,PS2,Action,7.237323209718203
Blazing Souls,2006.0,Idea Factory,0.0,0.0,0.02,0.0,0.02,100.0,,100.0,PS2,Role-Playing,7.20729001339011
Love Live! School Idol Paradise,2014.0,Kadokawa Games,0.0,0.0,0.12,0.0,0.12,100.0,,100.0,PSV,Misc,6.565167501051933
Casino Chaos With Las Vegas Players Collection,2011.0,THQ,0.03,0.0,0.0,0.0,0.03,100.0,,100.0,PC,Misc,6.8196418792174
Suggoi! Arcana Heart 2,2009.0,AQ Interactive,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,PS2,Fighting,6.709968788126484
Just Dance: Disney Party,2012.0,Ubisoft,0.13,0.02,0.0,0.01,0.16,100.0,,100.0,X360,Misc,6.826040523820469
The Fairly Odd Parents: Game Boy Advance Video Volume 2,2004.0,,0.3,0.11,0.0,0.01,0.42,100.0,,100.0,GBA,Misc,6.651540633989741
Kingdom of Paradise,2005.0,Sony Computer Entertainment,0.14,0.0,0.0,0.01,0.15,100.0,,100.0,PSP,Role-Playing,7.176706037454101
Hot 'n' Cold,2009.0,Majesco Entertainment,0.02,0.0,0.0,0.0,0.02,100.0,,100.0,DS,Action,6.965149438397488
Black Bass with Blue Marlin,1999.0,Starfish,0.06,0.04,0.0,0.01,0.11,100.0,,100.0,PS,Sports,6.505107262272793
Destruction Derby 2,1996.0,Psygnosis,0.65,0.44,0.0,0.08,1.17,100.0,,100.0,PS,Racing,7.6
SD Gundam: Gashapon Wars,2005.0,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07,100.0,,100.0,GC,Strategy,6.976239616506287
Aquanaut's Holiday: Kakusareta Kiroku,2008.0,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,100.0,,100.0,PS3,Adventure,7.059051929112452
Batman: Arkham Origins Blackgate,2013.0,Warner Bros. Interactive Entertainment,0.2,0.2,0.0,0.13,0.53,100.0,,100.0,PSV,Action,6.974275194677354
Danny Phantom: Urban Jungle,2006.0,THQ,0.04,0.0,0.0,0.0,0.04,100.0,,100.0,DS,Action,7.131264553172633
Harukanaru Toki no Naka de 3,2004.0,Tecmo Koei,0.0,0.0,0.05,0.0,0.05,100.0,,100.0,PS2,Adventure,6.728735769772053
Star Wars Battlefront: Elite Squadron,2009.0,LucasArts,0.38,0.24,0.0,0.16,0.78,100.0,,100.0,PSP,Shooter,6.720767274474214
Mojo!,2003.0,Mindscape,0.07,0.05,0.0,0.02,0.14,100.0,,100.0,PS2,Puzzle,6.539653392142502
Jig-A-Pix: Pets,2009.0,Zushi Games,0.03,0.0,0.0,0.0,0.04,100.0,,100.0,DS,Puzzle,6.751245672764073
Momotarou Dentetsu DS: Tokyo & Japan,2007.0,Hudson Soft,0.0,0.0,0.34,0.0,0.34,100.0,,100.0,DS,Misc,6.638974395024424
M&M's Adventure,2008.0,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.05,100.0,,100.0,DS,Adventure,7.341605918239502
Nicktoons Collection: Game Boy Advance Video Volume 2,2004.0,,0.16,0.06,0.0,0.0,0.22,100.0,,100.0,GBA,Misc,6.804338639856317
Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,2004.0,Nintendo,0.0,0.0,0.1,0.0,0.1,100.0,,100.0,GBA,Adventure,7.119033814174469
White Album 2: Shiawase no Mukougawa,2012.0,Aqua Plus,0.0,0.0,0.04,0.0,0.04,100.0,,100.0,PS3,Adventure,7.075944812949388
Pandemonium 2,1997.0,BMG Interactive Entertainment,0.04,0.02,0.0,0.0,0.07,100.0,,100.0,PS,Platform,7.171523456189772
Super Monkey Ball Jr.,2002.0,Atari,0.51,0.19,0.0,0.01,0.72,100.0,,100.0,GBA,Puzzle,6.154760233626504
Another Code R: A Journey into Lost Memories,2009.0,Nintendo,0.0,0.03,0.03,0.0,0.06,100.0,,100.0,Wii,Adventure,6.915953745075491
L'Aigle de Guerre,2001.0,Nintendo,0.0,0.0,0.1,0.0,0.1,100.0,,100.0,GBA,Strategy,6.95264321385194
American Girl: Julie Finds a Way,2007.0,THQ,0.1,0.0,0.0,0.01,0.11,100.0,,100.0,DS,Adventure,7.193170497955085
Tokushu Houdoubu,2012.0,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,PSV,Adventure,6.906481247478226
My Chinese Coach,2008.0,Ubisoft,0.11,0.01,0.0,0.01,0.12,100.0,,100.0,DS,Misc,6.700276825865285
KORG DS-10 Synthesizer,2008.0,AQ Interactive,0.2,0.01,0.0,0.02,0.22,100.0,,100.0,DS,Misc,6.889981122345313
Rock Band Country Track Pack,2009.0,MTV Games,0.42,0.0,0.0,0.03,0.45,100.0,,100.0,Wii,Misc,6.8536093128683975
Hot Shots Tennis: Get a Grip,2010.0,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21,100.0,,100.0,PSP,Sports,7.200792520730336
World Soccer Winning Eleven 2002,2002.0,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,100.0,,100.0,PS,Sports,7.080421524711134
Fast Food,1981.0,Unknown,0.27,0.02,0.0,0.0,0.29,100.0,,100.0,2600,Action,6.969541418564741
Star Wars Trilogy: Apprentice of the Force,2004.0,Ubisoft,0.3,0.11,0.0,0.01,0.42,100.0,,100.0,GBA,Action,6.758252070797033
The Orange Box,2007.0,Electronic Arts,1.09,0.54,0.02,0.17,1.83,100.0,,100.0,X360,Shooter,7.922241168894191
Cars: Mater-National Championship,2007.0,THQ,0.63,0.01,0.0,0.05,0.68,100.0,,100.0,DS,Racing,7.408381124184293
B.L.U.E.: Legend of Water,1998.0,,0.0,0.0,0.04,0.0,0.04,100.0,,100.0,PS,Adventure,7.011362054020587
R-Type Delta,1998.0,Irem Software Engineering,0.01,0.01,0.0,0.0,0.03,100.0,,100.0,PS,Shooter,6.80616544102193
Vitamin X Evolution,2008.0,D3Publisher,0.0,0.0,0.03,0.0,0.03,100.0,,100.0,DS,Adventure,7.203326896814147
Need For Speed: High Stakes,1999.0,Electronic Arts,1.58,0.64,0.0,0.09,2.31,100.0,,100.0,PS,Racing,8.6
Dynasty Warriors 7: Xtreme Legends,2011.0,Tecmo Koei,0.04,0.05,0.16,0.02,0.27,100.0,,100.0,PS3,Action,6.831331286899283
Fish Tycoon,2007.0,Majesco Entertainment,0.24,0.0,0.0,0.02,0.27,100.0,,100.0,DS,Simulation,6.895588879050697
NBA Street: Showdown,2005.0,Electronic Arts,0.2,0.0,0.0,0.02,0.23,100.0,,100.0,PSP,Sports,7.248044139417971
Geist,2005.0,Nintendo,0.11,0.03,0.0,0.0,0.15,100.0,,100.0,GC,Adventure,7.31720485607526
Blazing Angels 2: Secret Missions of WWII,2007.0,Ubisoft,0.1,0.03,0.0,0.02,0.15,100.0,,100.0,PS3,Simulation,6.901167924312569
Pokemon Diamond/Pokemon Pearl,2006.0,Nintendo,6.42,4.52,6.04,1.37,18.36,100.0,,100.0,DS,Role-Playing,9.066770901579009
DanceDanceRevolution,2010.0,Konami Digital Entertainment,0.29,0.04,0.0,0.02,0.36,100.0,,100.0,Wii,Simulation,7.011443332214256
Lips: Party Classics,2010.0,Microsoft Game Studios,0.05,0.11,0.0,0.02,0.18,100.0,,100.0,X360,Misc,6.830206732754485
NHL 99,1997.0,Electronic Arts,0.59,0.4,0.0,0.07,1.07,100.0,,100.0,PS,Sports,8.3
Story of Seasons: Good Friends of the Three Villages,2016.0,Marvelous Interactive,0.0,0.0,0.19,0.0,0.19,100.0,,100.0,3DS,Simulation,6.684984093201902
Densha De Go! 2,1999.0,Taito,0.0,0.0,0.38,0.03,0.41,100.0,,100.0,PS,Simulation,7.355950887380604
SoulCalibur IV,2008.0,Ubisoft,0.92,0.44,0.07,0.15,1.59,100.0,,100.0,X360,Fighting,8.327923296770443
Zack & Wiki: Quest for Barbaros' Treasure,2007.0,Nintendo,0.18,0.17,0.03,0.04,0.42,100.0,,100.0,Wii,Adventure,7.277383369177949
Super Trucks Racing,2002.0,Jester Interactive,0.35,0.27,0.0,0.09,0.71,100.0,,100.0,PS2,Racing,7.105303487320862
Gotcha Force,2003.0,Capcom,0.01,0.0,0.01,0.0,0.03,100.0,,100.0,GC,Shooter,6.931878674235928
Sugar + Spice! Anoko no Suteki na Nanimokamo,2008.0,Alchemist,0.0,0.0,0.01,0.0,0.01,100.0,,100.0,PS2,Adventure,6.8693839241534365
Dragon Quest Monsters 2,2001.0,Enix Corporation,0.0,0.0,1.56,0.0,1.56,100.0,,100.0,GB,Role-Playing,6.91737965261148
Final Fight,1990.0,Capcom,0.67,0.17,0.69,0.03,1.56,100.0,,100.0,SNES,Action,7.6
Ford vs. Chevy,2005.0,Global Star,0.11,0.09,0.0,0.03,0.22,100.0,,100.0,PS2,Racing,6.861133008237343
7 Roses: A Darkness Rises,2015.0,Avanquest Software,0.0,0.02,0.0,0.0,0.02,100.0,,100.0,PC,Misc,6.96142671577786
Outdoors Unleashed: Africa 3D,2011.0,Mastiff,0.01,0.0,0.0,0.0,0.01,100.0,,100.0,3DS,Sports,7.188603711409836
Shox,2002.0,Electronic Arts,0.05,0.04,0.0,0.01,0.09,100.0,,100.0,PS2,Racing,7.218102638330698
Fable III,2010.0,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,100.0,,100.0,X360,Role-Playing,8.532299402552812
Worms Reloaded,2010.0,Team17 Software,0.0,0.04,0.0,0.01,0.05,100.0,,100.0,PC,Strategy,7.178528004584929
Sengoku Musou 3 Z,2011.0,Ackkstudios,0.0,0.0,0.33,0.0,0.33,100.0,,100.0,PS3,Action,6.707736151650629
A.C.E.: Another Century's Episode 3: The Final,2007.0,Banpresto,0.0,0.0,0.26,0.0,0.26,100.0,,100.0,PS2,Simulation,6.3738223376966605
"Go, Diego, Go!: Great Dinosaur Rescue",2008.0,Take-Two Interactive,0.16,0.12,0.0,0.04,0.32,100.0,,100.0,PS2,Action,7.104035926694441
